"Timestep","MG_Output"
"460",0.86172
"461",0.80783
"462",0.75653
"463",0.70783
"464",0.66156
"465",0.61758
"466",0.576
"467",0.5374
"468",0.50281
"469",0.47363
"470",0.45175
"471",0.43972
"472",0.44092
"473",0.45914
"474",0.49708
"475",0.55386
"476",0.62377
"477",0.69821
"478",0.76924
"479",0.83169
"480",0.88314
"481",0.92302
"482",0.95179
"483",0.9704
"484",0.98013
"485",0.98246
"486",0.97906
"487",0.97184
"488",0.96302
"489",0.95527
"490",0.95172
"491",0.95567
"492",0.96985
"493",0.99523
"494",1.0298
"495",1.0683
"496",1.1033
"497",1.1288
"498",1.1426
"499",1.1464
"500",1.1434
"501",1.1307
"502",1.1261
"503",1.1245
"504",1.1262
"505",1.1304
"506",1.1354
"507",1.1385
"508",1.1365
"509",1.1253
"510",1.1019
"511",1.0663
"512",1.022
"513",0.97404
"514",0.92672
"515",0.88288
"516",0.84402
"517",0.81058
"518",0.78217
"519",0.75782
"520",0.73625
"521",0.71623
"522",0.69689
"523",0.67796
"524",0.65995
"525",0.64422
"526",0.63323
"527",0.63059
"528",0.64055
"529",0.66631
"530",0.70772
"531",0.76059
"532",0.81869
"533",0.87652
"534",0.93055
"535",0.97911
"536",1.0217
"537",1.0583
"538",1.0893
"539",1.1147
"540",1.1351
"541",1.1507
"542",1.1624
"543",1.171
"544",1.1784
"545",1.1868
"546",1.1985
"547",1.215
"548",1.2354
"549",1.2551
"550",1.2672
"551",1.2657
"552",1.2483
"553",1.2163
"554",1.1735
"555",1.1237
"556",1.0703
"557",1.0159
"558",0.9624
"559",0.91102
"560",0.86243
"561",0.81674
"562",0.77354
"563",0.73198
"564",0.69118
"565",0.65075
"566",0.61115
"567",0.57364
"568",0.5399
"569",0.51185
"570",0.49177
"571",0.4825
"572",0.48739
"573",0.50955
"574",0.55013
"575",0.6067
"576",0.67336
"577",0.74299
"578",0.8096
"579",0.86929
"580",0.91999
"581",0.9608
"582",0.99155
"583",1.0127
"584",1.0251
"585",1.0301
"586",1.0293
"587",1.0249
"588",1.0191
"589",1.0148
"590",1.0151
"591",1.023
"592",1.0403
"593",1.0671
"594",1.1
"595",1.1328
"596",1.1577
"597",1.1696
"598",1.1678
"599",1.155
"600",1.1354
"601",1.1129
"602",1.0906
"603",1.0707
"604",1.0544
"605",1.0419
"606",1.0322
"607",1.0234
"608",1.0123
"609",0.99568
"610",0.97062
"611",0.9365
"612",0.89551
"613",0.85166
"614",0.80904
"615",0.77092
"616",0.73962
"617",0.71661
"618",0.70252
"619",0.69706
"620",0.6991
"621",0.70692
"622",0.71873
"623",0.73311
"624",0.74953
"625",0.76865
"626",0.7923
"627",0.82294
"628",0.86198
"629",0.90794
"630",0.95653
"631",1.003
"632",1.0441
"633",1.079
"634",1.108
"635",1.1324
"636",1.1538
"637",1.1735
"638",1.1923
"639",1.2108
"640",1.2291
"641",1.2472
"642",1.265
"643",1.282
"644",1.2971
"645",1.3074
"646",1.3082
"647",1.2946
"648",1.2654
"649",1.2233
"650",1.1723
"651",1.1164
"652",1.0584
"653",1.0001
"654",0.94241
"655",0.88608
"656",0.83141
"657",0.77867
"658",0.72806
"659",0.67972
"660",0.63382
"661",0.59055
"662",0.5503
"663",0.51382
"664",0.48224
"665",0.45724
"666",0.44111
"667",0.43694
"668",0.44837
"669",0.47858
"670",0.52818
"671",0.59344
"672",0.66686
"673",0.74007
"674",0.80662
"675",0.86286
"676",0.90745
"677",0.94048
"678",0.9628
"679",0.97565
"680",0.98047
"681",0.97888
"682",0.97272
"683",0.96408
"684",0.95548
"685",0.94986
"686",0.9505
"687",0.9604
"688",0.98135
"689",1.0127
"690",1.0506
"691",1.0881
"692",1.1182
"693",1.1371
"694",1.145
"695",1.1448
"696",1.1401
"697",1.1341
"698",1.1292
"699",1.127
"700",1.1281
"701",1.1321
"702",1.1375
"703",1.1422
"704",1.1431
"705",1.1364
"706",1.1186
"707",1.0879
"708",1.0467
"709",0.99954
"710",0.95134
"711",0.90553
"712",0.86413
"713",0.82796
"714",0.79693
"715",0.77026
"716",0.74677
"717",0.72519
"718",0.70452
"719",0.68428
"720",0.66466
"721",0.64666
"722",0.63221
"723",0.62439
"724",0.62728
"725",0.64486
"726",0.67883
"727",0.72689
"728",0.78345
"729",0.84237
"730",0.89907
"731",0.95099
"732",0.99705
"733",1.037
"734",1.071
"735",1.0993
"736",1.122
"737",1.1397
"738",1.1527
"739",1.1621
"740",1.1693
"741",1.1763
"742",1.1856
"743",1.1994
"744",1.2181
"745",1.2393
"746",1.2573
"747",1.2648
"748",1.2573
"749",1.2339
"750",1.1974
"751",1.1517
"752",1.1006
"753",1.0472
"754",0.99372
"755",0.94182
"756",0.89246
"757",0.84604
"758",0.80239
"759",0.76081
"760",0.7203
"761",0.68006
"762",0.64005
"763",0.60115
"764",0.56491
"765",0.53317
"766",0.50802
"767",0.49195
"768",0.48806
"769",0.49967
"770",0.52919
"771",0.57638
"772",0.63724
"773",0.70522
"774",0.77367
"775",0.83755
"776",0.89381
"777",0.94088
"778",0.97809
"779",1.0054
"780",1.0235
"781",1.0332
"782",1.0362
"783",1.0342
"784",1.0293
"785",1.0242
"786",1.0217
"787",1.025
"788",1.0368
"789",1.058
"790",1.0876
"791",1.1209
"792",1.1505
"793",1.1693
"794",1.1741
"795",1.1657
"796",1.1478
"797",1.1247
"798",1.1001
"799",1.0767
"800",1.0562
"801",1.0396
"802",1.0266
"803",1.0157
"804",1.0046
"805",0.99004
"806",0.96884
"807",0.93906
"808",0.90135
"809",0.85884
"810",0.81562
"811",0.77539
"812",0.741
"813",0.71444
"814",0.69694
"815",0.68884
"816",0.68953
"817",0.69759
"818",0.71115
"819",0.72843
"820",0.74825
"821",0.77046
"822",0.79606
"823",0.82698
"824",0.86485
"825",0.90925
"826",0.95689
"827",1.0032
"828",1.0445
"829",1.0795
"830",1.1082
"831",1.1319
"832",1.1522
"833",1.1706
"834",1.1885
"835",1.2064
"836",1.2246
"837",1.2431
"838",1.2614
"839",1.2788
"840",1.294
"841",1.3042
"842",1.305
"843",1.2916
"844",1.2626
"845",1.2206
"846",1.1697
"847",1.114
"848",1.0564
"849",0.99864
"850",0.94181
"851",0.88634
"852",0.83248
"853",0.7804
"854",0.73025
"855",0.6822
"856",0.63646
"857",0.59328
"858",0.5531
"859",0.51668
"860",0.48517
"861",0.46027
"862",0.44433
"863",0.44047
"864",0.45233
"865",0.48292
"866",0.53265
"867",0.59767
"868",0.67064
"869",0.74342
"870",0.80972
"871",0.86591
"872",0.91057
"873",0.94375
"874",0.96625
"875",0.97928
"876",0.9843
"877",0.9829
"878",0.97693
"879",0.96851
"880",0.96015
"881",0.95484
"882",0.95582
"883",0.96605
"884",0.98722
"885",1.0186
"886",1.0562
"887",1.0932
"888",1.1224
"889",1.1401
"890",1.1467
"891",1.1451
"892",1.1391
"893",1.1318
"894",1.1256
"895",1.1223
"896",1.1223
"897",1.1252
"898",1.1296
"899",1.1333
"900",1.1331
"901",1.1252
"902",1.1062
"903",1.0746
"904",1.0329
"905",0.98577
"906",0.93804
"907",0.89303
"908",0.85273
"909",0.81793
"910",0.78853
"911",0.76371
"912",0.74226
"913",0.72286
"914",0.70443
"915",0.68645
"916",0.66913
"917",0.6535
"918",0.64166
"919",0.63685
"920",0.64323
"921",0.66455
"922",0.70183
"923",0.75193
"924",0.80888
"925",0.86678
"926",0.92157
"927",0.97119
"928",1.0149
"929",1.0528
"930",1.085
"931",1.1119
"932",1.1338
"933",1.151
"934",1.1641
"935",1.174
"936",1.1822
"937",1.1906
"938",1.2017
"939",1.2172
"940",1.2366
"941",1.2564
"942",1.27
"943",1.2708
"944",1.2557
"945",1.2256
"946",1.184
"947",1.1346
"948",1.081
"949",1.026
"950",0.97149
"951",0.91882
"952",0.86878
"953",0.82164
"954",0.77715
"955",0.7346
"956",0.69316
"957",0.65233
"958",0.61239
"959",0.5744
"960",0.53993
"961",0.51079
"962",0.48915
"963",0.47775
"964",0.4799
"965",0.49893
"966",0.53662
"967",0.59128
"968",0.6574
"969",0.72765
"970",0.79556
"971",0.85676
"972",0.90892
"973",0.95106
"974",0.983
"975",1.0051
"976",1.0184
"977",1.024
"978",1.0237
"979",1.0193
"980",1.0132
"981",1.008
"982",1.007
"983",1.0131
"984",1.0286
"985",1.054
"986",1.0866
"987",1.1207
"988",1.1485
"989",1.1641
"990",1.1661
"991",1.1566
"992",1.1398
"993",1.1194
"994",1.0988
"995",1.0803
"996",1.0653
"997",1.054
"998",1.0458
"999",1.0388
"1000",1.0301
